ticker,rule1_score,management_score,moat_score,sticker_price,last_price,percentage_upside,dividend,cash_per_share,signal_score,sentiment_score,screenshot
YETI,92,100,83,"$2,463.53",$32.19,15202.89%,61.57,15.85,58,57,https://www.stockscores.com/chart.asp?TickerSymbol=YETI&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
YOU,80,80,80,"$8,205.32",$28.7,57077.70%,75.20,0.00,72,73,https://www.stockscores.com/chart.asp?TickerSymbol=YOU&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ZTO,95,98,93,$476.51,$17.92,5218.19%,23.75,12.54,40,48,https://www.stockscores.com/chart.asp?TickerSymbol=ZTO&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ZTS,88,90,85,$84.07,$157.05,7.06%,15.04,9.47,41,46,https://www.stockscores.com/chart.asp?TickerSymbol=ZTS&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreenMAT,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
APP,AppLovin Corp,83,75,90,$353,N/A,25,0,8 years
PPLT,AppLovin Corp,83,75,90,$353,N/A,25,0,8 years
ULTA,Ulta Beauty Inc,85,100,70,$1880,N/A,27,13,6 years
UUUU,Energy Fuels Inc,67,40,94,$0,N/A,158,21,N/A
PLAS,Energy Fuels Inc,67,40,94,$0,N/A,158,21,N/A
PLUG,Plug Power Inc,41,0,82,$0,N/A,242,1,Infinity years
LOT,Lotus Technology Inc,70,40,100,$0,N/A,N/A,N/A,N/A
HNNMY,Lotus Technology Inc,70,40,100,$0,N/A,N/A,N/A,N/A
AVAL,Grupo Aval Acciones y Valores SA,7,10,3,$1145297,N/A,78,12,N/A
SSAAY,Grupo Aval Acciones y Valores SA,7,10,3,$1145297,N/A,78,12,N/A
SCRYY,Grupo Aval Acciones y Valores SA,7,10,3,$1145297,N/A,78,12,N/A
BRFS,BRF SA,45,25,65,$100,N/A,23,9,1 years
FPAFY,BRF SA,45,25,65,$100,N/A,23,9,1 years
LYG,Lloyds Banking Group PLC,17,20,13,$11,N/A,15,2,3 years
ABCL,AbCellera Biologics Inc,45,40,50,$0,N/A,990,0,Infinity years
PALAF,AbCellera Biologics Inc,45,40,50,$0,N/A,990,0,Infinity years
GRAB,Grab Holdings Ltd,27,40,13,$2,N/A,82,0,Infinity years
SSL,Sasol Ltd,9,0,17,$135,N/A,83,1,N/A
MFG,Mizuho Financial Group Inc,50,50,50,$12827,N/A,31,3,0 years
NG,Novagold Resources Inc,10,20,0,$0,N/A,N/A,0,N/A
UA,Under Armour Inc,35,53,18,$0,N/A,35,0,Infinity years
FSM,Fortuna Mining Corp,62,40,83,$29,N/A,25,16,Infinity years
COMP,Compass Inc,27,40,13,$2,N/A,30,0,N/A
PL,Planet Labs PBC,58,40,75,$0,N/A,15,0,N/A
DVDCF,Planet Labs PBC,58,40,75,$0,N/A,15,0,N/A
CGAU,Centerra Gold Inc,25,40,10,N/A,N/A,N/A,N/A,N/A
NVTS,Navitas Semiconductor Corp,70,40,100,$0,N/A,N/A,N/A,N/A
DLAKY,Navitas Semiconductor Corp,70,40,100,$0,N/A,N/A,N/A,N/A
MLCO,Melco Resorts and Entertainment Ltd,5,5,5,$3,N/A,32,3,N/A
SWRAY,Melco Resorts and Entertainment Ltd,5,5,5,$3,N/A,32,3,N/A
SBSW,Sibanye Stillwater Ltd,31,3,59,$0,N/A,1518,5,Infinity years
FLNC,Fluence Energy Inc,55,60,50,$0,N/A,30,0,Infinity years
HIMX,Himax Technologies Inc,45,53,38,$7052,N/A,89,5,4 years
BVNRY,Himax Technologies Inc,45,53,38,$7052,N/A,89,5,4 years
AVDX,AvidXchange Holdings Inc,30,40,20,$3,N/A,66,0,Infinity years
INGXF,AvidXchange Holdings Inc,30,40,20,$3,N/A,66,0,Infinity years
AMKBY,AvidXchange Holdings Inc,30,40,20,$3,N/A,66,0,Infinity years
VALE,Vale SA,48,73,23,$11,N/A,11,5,10 years
CLF,Cleveland-Cliffs Inc,35,28,42,$0,N/A,164,41,Infinity years
IMPUY,Cleveland-Cliffs Inc,35,28,42,$0,N/A,164,41,Infinity years
WTBDY,Cleveland-Cliffs Inc,35,28,42,$0,N/A,164,41,Infinity years
YZCAY,Cleveland-Cliffs Inc,35,28,42,$0,N/A,164,41,Infinity years
VOD,Vodafone Group PLC,9,3,15,$4,N/A,210,2,Infinity years
TTDKY,Vodafone Group PLC,9,3,15,$4,N/A,210,2,Infinity years
OCUL,Ocular Therapeutix Inc,69,50,88,$0,N/A,45,50,Infinity years
PROSY,Ocular Therapeutix Inc,69,50,88,$0,N/A,45,50,Infinity years
RITM,Rithm Capital Corp,32,10,54,$124,N/A,44,10,13 years
ORLA,Orla Mining Ltd,36,48,25,$2,N/A,757,0,Infinity years
PBI,Pitney Bowes Inc,14,15,13,$0,N/A,78,1,Infinity years
NMRK,Newmark Group Inc,33,33,33,$557901,N/A,198,2,Infinity years
LSPD,Lightspeed Commerce Inc,58,40,75,$0,N/A,4,40,Infinity years
PARA,Paramount Global,13,10,16,$6,N/A,4,1,N/A
AES,The AES Corp,20,8,32,$48,N/A,27,2,N/A
RIOT,Riot Platforms Inc,39,10,67,$0,N/A,196,24,Infinity years
BACHY,Riot Platforms Inc,39,10,67,$0,N/A,196,24,Infinity years
CMPO,CompoSecure Inc,67,53,81,$12,N/A,136,0,N/A
REPYY,CompoSecure Inc,67,53,81,$12,N/A,136,0,N/A
AHCHY,CompoSecure Inc,67,53,81,$12,N/A,136,0,N/A
DV,DoubleVerify Holdings Inc,78,57,100,$181,N/A,48,0,6 years
HSNGY,DoubleVerify Holdings Inc,78,57,100,$181,N/A,48,0,6 years
CNTA,Centessa Pharmaceuticals PLC,20,40,0,$0,N/A,95,0,Infinity years
WDS,Woodside Energy Group Ltd,42,25,58,$1125,N/A,48,4,6 years
HR,Healthcare Realty Trust Inc,50,0,100,$8,N/A,4,1,Infinity years
JSAIY,Healthcare Realty Trust Inc,50,0,100,$8,N/A,4,1,Infinity years
SA,Seabridge Gold Inc,44,0,88,$0,N/A,N/A,0,N/A
ASAZY,Seabridge Gold Inc,44,0,88,$0,N/A,N/A,0,N/A
SKE,Skeena Resources Ltd,58,40,75,$0,N/A,N/A,0,N/A
NPIFF,Skeena Resources Ltd,58,40,75,$0,N/A,N/A,0,N/A
TLK,PT Telkom Indonesia (Persero) Tbk,66,90,41,$0,N/A,N/A,0,N/A
PRM,Perimeter Solutions Inc,20,15,25,$11,N/A,N/A,N/A,N/A
TSCDY,Perimeter Solutions Inc,20,15,25,$11,N/A,N/A,N/A,N/A
LGGNY,Perimeter Solutions Inc,20,15,25,$11,N/A,N/A,N/A,N/A
BVN,Compania De Minas Buenaventura SAA,36,53,19,$0,N/A,23,2,N/A
AVVIY,Compania De Minas Buenaventura SAA,36,53,19,$0,N/A,23,2,N/A
BURBY,Compania De Minas Buenaventura SAA,36,53,19,$0,N/A,23,2,N/A
HCM,HUTCHMED (China) Ltd,44,40,47,$0,N/A,13,16,N/A
WEGRY,HUTCHMED (China) Ltd,44,40,47,$0,N/A,13,16,N/A
IREN,IREN Ltd,54,40,67,$0,N/A,N/A,N/A,N/A
BCS,Barclays PLC,37,55,18,$23594,N/A,97,5,0 years
EONGY,Barclays PLC,37,55,18,$23594,N/A,97,5,0 years
TIPX,Barclays PLC,37,55,18,$23594,N/A,97,5,0 years
UE,Urban Edge Properties,17,20,13,$18,N/A,16,3,8 years
NDEKY,Urban Edge Properties,17,20,13,$18,N/A,16,3,8 years
SUBCY,Urban Edge Properties,17,20,13,$18,N/A,16,3,8 years
WWW,Wolverine World Wide Inc,8,0,15,$13656472626356,N/A,1490,2,Infinity years
B,Barrick Mining Corp,53,5,100,$71524343,N/A,306,5,1 years
QXO,QXO Inc,71,60,81,$3,N/A,1302,61,Infinity years
IBDV,QXO Inc,71,60,81,$3,N/A,1302,61,Infinity years
SCHF,QXO Inc,71,60,81,$3,N/A,1302,61,Infinity years
SAXPY,QXO Inc,71,60,81,$3,N/A,1302,61,Infinity years
CENX,Century Aluminum Co,24,23,25,$13,N/A,10,0,11 years
NTDOY,Century Aluminum Co,24,23,25,$13,N/A,10,0,11 years
SKM,SK Telecom Co Ltd,30,38,23,$172416,N/A,2,2,N/A
IBTH,SK Telecom Co Ltd,30,38,23,$172416,N/A,2,2,N/A
FSUGY,SK Telecom Co Ltd,30,38,23,$172416,N/A,2,2,N/A
SCHI,SK Telecom Co Ltd,30,38,23,$172416,N/A,2,2,N/A
ING,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
IBDU,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
CODYY,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
SPHY,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
PXH,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
IBDS,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
IBDR,ING Groep NV,19,13,25,$233,N/A,31,6,2 years
WRBY,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
SKFRY,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
RANJY,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
SCHR,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
SDVKY,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
UCON,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
SCHX,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
EMLC,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
IBDT,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
SJNK,Warby Parker Inc,39,40,38,$5,N/A,55,0,Infinity years
GFI,Gold Fields Ltd,64,63,65,$16,N/A,42,10,N/A
FLTR,Gold Fields Ltd,64,63,65,$16,N/A,42,10,N/A
FTGC,Gold Fields Ltd,64,63,65,$16,N/A,42,10,N/A
FL,Foot Locker Inc,28,50,5,$26,N/A,1,3,Infinity years
ENLT,Enlight Renewable Energy Ltd,35,0,70,$19,N/A,6,0,Infinity years
RF,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
SSEZY,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
PYLD,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
HCMLY,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
OVCHY,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
FALN,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
DFGR,Regions Financial Corp,38,68,8,$30,N/A,5,5,7 years
CUK,Carnival PLC,8,0,15,$923,N/A,58,9,Infinity years
BEP,Brookfield Renewable Partners LP,36,0,71,$0,N/A,13,11,N/A
SOXL,Brookfield Renewable Partners LP,36,0,71,$0,N/A,13,11,N/A
CGMS,Brookfield Renewable Partners LP,36,0,71,$0,N/A,13,11,N/A
OR,OR Royalties Inc,33,30,35,$9,N/A,13,14,N/A
SPTI,OR Royalties Inc,33,30,35,$9,N/A,13,14,N/A
ASHR,OR Royalties Inc,33,30,35,$9,N/A,13,14,N/A
SEDG,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
ANGL,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
HTHIY,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
DFAX,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
TGOPY,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
DFAE,SolarEdge Technologies Inc,13,0,26,$0,N/A,73,6,N/A
CCL,Carnival Corp,8,0,15,$1009,N/A,58,9,Infinity years
SCHG,Carnival Corp,8,0,15,$1009,N/A,58,9,Infinity years
ASBFY,Carnival Corp,8,0,15,$1009,N/A,58,9,Infinity years
DFIS,Carnival Corp,8,0,15,$1009,N/A,58,9,Infinity years
SPSB,Carnival Corp,8,0,15,$1009,N/A,58,9,Infinity years
GEN,Gen Digital Inc,38,45,30,$1830344710,N/A,427,2,Infinity years
DB,Deutsche Bank AG,32,43,21,$0,N/A,6,3,N/A
SCHK,Deutsche Bank AG,32,43,21,$0,N/A,6,3,N/A
ACMR,ACM Research Inc,69,70,67,$21619,N/A,90,42,Infinity years
DFEM,ACM Research Inc,69,70,67,$21619,N/A,90,42,Infinity years
FLRN,ACM Research Inc,69,70,67,$21619,N/A,90,42,Infinity years
NCNO,Ncino Inc,27,20,33,$5,N/A,32,0,Infinity years
BXBLY,Ncino Inc,27,20,33,$5,N/A,32,0,Infinity years
SCHE,Ncino Inc,27,20,33,$5,N/A,32,0,Infinity years
DFIC,Ncino Inc,27,20,33,$5,N/A,32,0,Infinity years
CEF,Ncino Inc,27,20,33,$5,N/A,32,0,Infinity years
STEL,Stellar Bancorp Inc,79,60,97,$23,N/A,28,6,N/A
AONNY,Stellar Bancorp Inc,79,60,97,$23,N/A,28,6,N/A
EUFN,Stellar Bancorp Inc,79,60,97,N/A,N/A,28,6,8 years
GLPG,Galapagos NV,39,40,38,$0,N/A,15,24,Infinity years
BUFR,Galapagos NV,39,40,38,$0,N/A,15,24,Infinity years
MAT,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
EGIEY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
SPKKY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
TLTZY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
AMSSY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
ENGGY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
MTNOY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
GLNCY,Mattel Inc,43,53,33,$987,N/A,50,3,4 years
MTCH,Match Group Inc,33,30,35,$55,N/A,19,12,12 years
OUNZ,Match Group Inc,33,30,35,$55,N/A,19,12,12 years
STM,STMicroelectronics NV,70,80,60,$111,N/A,29,7,9 years
BMWKY,STMicroelectronics NV,70,80,60,$111,N/A,29,7,9 years
FENI,STMicroelectronics NV,70,80,60,$111,N/A,29,7,9 years
SUPN,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
KMTUY,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
SPIB,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
AAAU,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
NNGRY,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
IAUM,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
FNDE,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
FELC,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
XSOE,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
SLV,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
AAGIY,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
THRO,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
UBS,UBS Group AG,24,20,28,$42,N/A,19,12,Infinity years
UGI,UGI Corp,9,8,10,$40,N/A,8,3,12 years
IMCR,Immunocore Holdings PLC,45,40,50,$5,N/A,86,0,Infinity years
FYBR,Frontier Communications Parent Inc,0,0,0,$0,N/A,77,0,N/A
SIVR,Frontier Communications Parent Inc,0,0,0,$0,N/A,77,0,N/A
KRC,Kilroy Realty Corp,18,8,28,$20,N/A,13,3,Infinity years
USHY,Kilroy Realty Corp,18,8,28,$20,N/A,13,3,Infinity years
FELG,Kilroy Realty Corp,18,8,28,$20,N/A,13,3,Infinity years
AHR,American Healthcare REIT Inc,38,0,75,$11,N/A,N/A,N/A,N/A
PINS,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
FXI,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
SFTBY,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
APUE,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
USCA,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
TSPA,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
IMBBY,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
ESGE,Pinterest Inc,61,70,53,$1509807774,N/A,417,21,Infinity years
MSGE,Madison Square Garden Entertainment Corp,23,25,20,$16,N/A,N/A,N/A,N/A
FNDF,Madison Square Garden Entertainment Corp,23,25,20,$16,N/A,N/A,N/A,N/A
SPDW,Madison Square Garden Entertainment Corp,23,25,20,$16,N/A,N/A,N/A,N/A
SPR,Spirit AeroSystems Holdings Inc,17,20,13,$0,N/A,55,5,N/A
TIGO,Millicom International Cellular SA,27,0,53,$2333,N/A,55,0,5 years
CGGR,Millicom International Cellular SA,27,0,53,$2333,N/A,55,0,5 years
SRLN,Millicom International Cellular SA,27,0,53,$2333,N/A,55,0,5 years
RSPT,Millicom International Cellular SA,27,0,53,$2333,N/A,55,0,5 years
ACIO,Millicom International Cellular SA,27,0,53,$2333,N/A,55,0,5 years
NI,NiSource Inc,32,10,53,$245832,N/A,148,3,1 years
HYLS,NiSource Inc,32,10,53,$245832,N/A,148,3,1 years
XLRE,NiSource Inc,32,10,53,$245832,N/A,148,3,1 years
MIELY,NiSource Inc,32,10,53,$245832,N/A,148,3,1 years
LEGN,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
FNDC,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
SHYG,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
SCHC,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
RWEOY,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
FXU,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
SPEM,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
EBKDY,Legend Biotech Corp,38,0,75,$0,N/A,27,0,N/A
DINO,HF Sinclair Corp,48,50,45,$17,N/A,62,8,Infinity years
DKNG,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
AIQ,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
IFNNY,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
IMTM,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
BNPQY,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
SSREY,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
AOM,DraftKings Inc,20,15,25,$3,N/A,841,0,Infinity years
NYAX,Nayax Ltd,42,40,44,$7,N/A,57,0,14 years
VNQI,Nayax Ltd,42,40,44,$7,N/A,57,0,14 years
DEM,Nayax Ltd,42,40,44,$7,N/A,57,0,14 years
JPIE,Nayax Ltd,42,40,44,$7,N/A,57,0,14 years
FTSL,Nayax Ltd,42,40,44,$7,N/A,57,0,14 years
TOST,Toast Inc,40,40,40,$7,N/A,600,0,N/A
FHI,Federated Hermes Inc,72,100,43,$58,N/A,8,8,8 years
TTMI,TTM Technologies Inc,19,5,33,$29,N/A,22,0,Infinity years
HGV,Hilton Grand Vacations Inc,36,18,55,$369,N/A,55,15,9 years
DFSD,Hilton Grand Vacations Inc,36,18,55,$369,N/A,55,15,9 years
ISTB,Hilton Grand Vacations Inc,36,18,55,$369,N/A,55,15,9 years
BKE,Buckle Inc,75,100,50,$54,N/A,7,5,8 years
VNLA,Buckle Inc,75,100,50,$54,N/A,7,5,8 years
LMBS,Buckle Inc,75,100,50,$54,N/A,7,5,8 years
BNDX,Buckle Inc,75,100,50,$54,N/A,7,5,8 years
GE,GE Aerospace,34,53,15,$4918,N/A,81,10,9 years
SOLV,Solventum Corp,20,40,0,$25,N/A,N/A,N/A,N/A
GEHC,GE HealthCare Technologies Inc,33,55,10,$43,N/A,5,0,13 years
ALL,Allstate Corp,57,50,63,$2196,N/A,39,13,Infinity years
FERG,Ferguson Enterprises Inc,74,83,65,$111,N/A,12,9,11 years
JHG,Janus Henderson Group PLC,53,75,30,$70,N/A,19,5,5 years
WEN,The Wendy's Co,27,30,23,$18,N/A,6,8,7 years
UHAL,U-Haul Holding Co,46,35,57,$25,N/A,14,7,Infinity years
IVZ,Invesco Ltd,5,3,8,$30,N/A,15,0,32 years
VAL,Valaris Ltd,29,45,13,$21770943544710,N/A,1362,0,1 years
NE,Noble Corp PLC,15,30,0,$33,N/A,N/A,N/A,N/A
HCC,Warrior Met Coal Inc,71,100,42,$2714,N/A,66,2,5 years
AMR,Alpha Metallurgical Resources Inc,74,90,57,$1898,N/A,92,13,5 years
CNR,Core Natural Resources Inc,83,95,70,$129287,N/A,100,7,2 years
SWBI,Smith & Wesson Brands Inc,63,100,25,$16,N/A,18,0,7 years
BRK.A,Berkshire Hathaway Inc,48,58,38,$251329,N/A,70,14,17 years
LYFT,Lyft Inc,19,20,17,$22,N/A,10,4,N/A
LRCX,Lam Research Corp,88,100,75,$106,N/A,19,11,9 years
EXE,Expand Energy Corp,25,38,13,$30,N/A,122,0,N/A
JD,JD.com Inc,72,65,78,$170,N/A,10,29,N/A
CZR,Caesars Entertainment Inc,40,0,79,$19,N/A,13,9,N/A
MU,Micron Technology Inc,22,30,13,$2515,N/A,56,3,4 years
ORCL,Oracle Corp,38,50,25,$62,N/A,6,10,19 years
ET,Energy Transfer LP,34,10,58,$22746704,N/A,313,3,1 years
LVS,Las Vegas Sands Corp,23,28,18,$28,N/A,196,3,N/A
QCOM,Qualcomm Inc,75,90,60,$138,N/A,13,10,8 years
BEKE,KE Holdings Inc,39,40,37,$386303608,N/A,322,0,1 years
FDX,FedEx Corp,39,30,48,$664,N/A,22,6,10 years
BABA,Alibaba Group Holding Ltd,39,78,0,$57928877,N/A,197,16,0 years
UBER,Uber Technologies Inc,35,40,30,$24,N/A,51,20,N/A
XYZ,Block Inc,59,43,75,$130259670156,N/A,582,29,2 years
GLW,Corning Inc,10,10,10,$18,N/A,12,2,22 years
AR,Antero Resources Corp,19,25,13,$1533,N/A,62,0,Infinity years
AVGO,Broadcom Inc,81,68,95,$1082,N/A,43,13,7 years
UNH,UnitedHealth Group Inc,60,60,60,$393,N/A,12,11,6 years
VST,Vistra Corp,37,20,53,$210515,N/A,119,14,Infinity years
LHX,L3Harris Technologies Inc,48,20,75,$1327,N/A,34,14,6 years
BIDU,Baidu Inc,43,40,45,$24925,N/A,41,3,1 years
MPLX,MPLX LP,54,30,78,$4257,N/A,53,2,6 years
INTC,Intel Corp,24,28,21,$6,N/A,21,3,N/A
NRG,NRG Energy Inc,44,33,55,$638,N/A,29,30,6 years
AMD,Advanced Micro Devices Inc,68,75,60,$297383,N/A,139,22,5 years
EQT,EQT Corp,25,8,43,$32,N/A,21,10,19 years
WYNN,Wynn Resorts Ltd,19,15,23,$85,N/A,6,0,51 years
WMB,Williams Companies Inc,34,23,45,$2235,N/A,56,4,4 years
TFC,Truist Financial Corp,23,18,28,$86,N/A,25,4,Infinity years
OBDC,Blue Owl Capital Corp,28,27,30,$0,N/A,49,12,N/A
DEO,Diageo PLC,47,50,43,$84,N/A,10,8,9 years
AZO,AutoZone Inc,47,40,53,$1801,N/A,0,17,N/A
BAX,Baxter International Inc,9,13,6,$5,N/A,1,7,N/A
JNJ,Johnson & Johnson,59,100,17,$674,N/A,27,3,4 years
WTFC,Wintrust Financial Corp,74,63,85,$192,N/A,20,8,6 years
NVS,Novartis AG,54,88,20,$92,N/A,7,0,9 years
EIG,Employers Holdings Inc,45,70,20,$209,N/A,31,7,5 years
PSNY,Polestar Automotive Holding UK PLC,60,20,100,$0,N/A,153,0,N/A
KT,KT Corp,24,10,38,$118009,N/A,9,2,0 years
CNH,CNH Industrial NV,28,25,30,$94,N/A,31,4,Infinity years
UNP,Union Pacific Corp,38,55,20,$150,N/A,2,5,18 years
WFC,Wells Fargo & Co,28,50,5,$874,N/A,34,4,5 years
USB,U.S. Bancorp,48,65,30,$81,N/A,11,4,5 years
ZION,Zions Bancorp NA,57,75,38,$84,N/A,9,6,7 years
NVST,Envista Holdings Corp,8,15,0,$18,N/A,8,3,Infinity years
ATMU,Atmus Filtration Technologies Inc,40,70,10,$18,N/A,N/A,N/A,N/A
GM,General Motors Co,37,30,44,$76,N/A,10,8,Infinity years
SEE,Sealed Air Corp,35,45,25,$72,N/A,20,4,4 years
COP,ConocoPhillips,63,73,53,$4333,N/A,52,9,5 years
ARLP,Alliance Resource Partners LP,62,80,43,$42,N/A,20,4,7 years
BAC,Bank of America Corp,27,25,29,$259,N/A,29,5,5 years
HPK,HighPeak Energy Inc,50,40,60,$20,N/A,N/A,N/A,N/A
ALV,Autoliv Inc,50,60,40,$113,N/A,8,5,10 years
HTLD,Heartland Express Inc,26,23,29,$5,N/A,2,14,Infinity years
EPD,Enterprise Products Partners LP,44,30,58,$23,N/A,9,10,10 years
CNXC,Concentrix Corp,47,23,70,$199,N/A,24,0,4 years
AXP,American Express Co,58,70,45,$209,N/A,17,12,20 years
FMC,FMC Corp,48,50,45,$25,N/A,12,2,11 years
ACDC,ProFrac Holding Corp,38,0,75,$9,N/A,N/A,N/A,N/A
IONS,Ionis Pharmaceuticals Inc,19,0,38,$0,N/A,1728,0,Infinity years
BRK.B,Berkshire Hathaway Inc,48,58,38,$251329,N/A,70,14,3 years
CMCSA,Comcast Corp,24,33,15,$57,N/A,9,5,5 years
EMR,Emerson Electric Co,59,85,33,$97,N/A,18,0,10 years
FITB,Fifth Third Bancorp,24,30,18,$107,N/A,29,3,5 years
BK,Bank of New York Mellon Corp,40,55,25,$525950,N/A,179,7,2 years
KOF,Coca-Cola Femsa SAB de CV,53,63,43,$1393,N/A,6,4,0 years
HCI,HCI Group Inc,74,55,93,$1E+30,N/A,55225,14,0 years
CSCO,Cisco Systems Inc,44,75,13,$121038894,N/A,284,3,0 years
GSK,GSK PLC,33,48,18,$40,N/A,18,2,7 years
GL,Globe Life Inc,38,65,10,$206,N/A,5,9,5 years
HLN,Haleon PLC,35,10,60,$3,N/A,5,0,16 years
VZ,Verizon Communications Inc,34,40,28,$72,N/A,9,0,20 years
KVUE,Kenvue Inc,28,30,25,$338,N/A,60,0,7 years
PSEC,Prospect Capital Corp,19,15,23,$14,N/A,331,8,Infinity years
PSX,Phillips 66,35,40,30,$1373,N/A,40,7,7 years
UL,Unilever PLC,39,50,28,$42,N/A,4,2,17 years
TTE,TotalEnergies SE,44,63,25,$138,N/A,16,4,7 years
EL,The Estee Lauder Companies Inc,34,50,18,$31,N/A,12,1,Infinity years
VFC,VF Corp,9,15,3,$11,N/A,11,3,N/A
MOH,Molina Healthcare Inc,74,90,58,$620,N/A,13,20,3 years
